420.0 , 330.0 , 0.0 , 1.0
411.0 , 264.0 , 1.0 , 1.0
344.0 , 266.0 , 2.0 , 1.0
341.0 , 330.0 , 0.0 , 2.0
320.0 , 266.0 , 1.0 , 2.0
282.0 , 275.0 , 2.0 , 2.0
260.0 , 330.0 , 0.0 , 3.0
253.0 , 271.0 , 1.0 , 3.0
194.0 , 267.0 , 2.0 , 3.0
179.0 , 330.0 , 0.0 , 4.0
171.0 , 176.0 , 1.0 , 4.0
559.0 , 233.0 , 2.0 , 4.0
556.0 , 330.0 , 0.0 , 5.0
555.0 , 274.0 , 1.0 , 5.0
628.0 , 279.0 , 2.0 , 5.0
624.0 , 330.0 , 0.0 , 6.0
620.0 , 238.0 , 1.0 , 6.0
502.0 , 246.0 , 2.0 , 6.0
481.0 , 330.0 , 0.0 , 7.0
454.0 , 177.0 , 1.0 , 7.0
417.0 , 175.0 , 2.0 , 7.0
420.0 , 330.0 , 0.0 , 8.0
